127.0.0.1 - - [17/May/2021:21:21:35 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:36 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:43 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [17/May/2021:21:21:50 -0300] "GET /ProjetoTrilhaWeb/admin HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/May/2021:21:22:55 -0300] "GET /ProjetoTrilhaWeb/pages HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:22:55 -0300] "GET /ProjetoTrilhaWeb/pages/ HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
